Day,six,8,10,12,14,16,18,20,22
Wed,24,34,35,38,48,35,32,40,39
Tue,29,31,31,37,48,32,32,43,39
Thur,24,37,41,53,51,44,47,50,48
Fri,19,24,28,43,50,51,50,58,38
Sat,6,8,12,15,17,13,14,2,3
Sun,28,28,29,35,45,34,31,43,39
Mon,4,16,18,18,22,17,13,17,6
Tue,29,33,32,33,48,32,31,39,39
Wed,24,33,36,42,50,35,31,42,42
Thur,27,35,39,54,50,42,45,56,51
Fri,24,26,30,48,48,50,52,53,38
Sat,5,8,13,17,16,12,12,6,1
Sun,25,33,36,38,50,32,32,43,37
Mon,9,17,17,21,21,16,12,19,6
Tue,24,28,30,33,47,35,33,42,37
Wed,25,33,38,45,44,33,31,41,41
Thur,27,36,41,53,45,42,47,55,51
Sat,7,13,13,15,15,11,13,3,2
Sun,26,30,37,38,50,32,31,40,38
Fri,21,28,26,44,49,51,52,52,40
Mon,6,15,15,20,22,15,12,17,6
Tue,27,29,34,36,47,32,31,37,38
Wed,25,33,34,44,47,33,32,36,39
Sat,7,9,14,15,16,13,14,4,1
Thur,24,37,39,50,49,43,45,58,46
Mon,9,13,15,18,22,16,14,19,7
Fri,20,30,32,42,45,50,52,59,40
Sun,26,31,33,32,51,35,33,39,37
Thur,25,34,40,53,45,43,45,56,50
Wed,25,35,34,37,46,38,31,39,40
Fri,21,27,26,39,45,48,51,54,39
Tue,26,34,33,34,49,32,32,42,39
Tue,26,30,30,37,48,33,31,39,39
Wed,24,36,38,42,49,33,32,43,40
Thur,25,35,47,57,50,44,45,55,51
Fri,24,29,31,46,47,48,50,52,37
Sat,4,10,14,16,16,12,14,5,2
Sun,28,29,34,33,48,34,31,39,37
Mon,8,13,15,19,21,15,12,19,5
Tue,24,29,34,30,46,32,33,34,38
Wed,24,32,35,44,44,38,31,43,42
Thur,29,39,46,54,49,45,46,57,50
Fri,19,29,27,48,46,49,51,58,40
Sat,2,10,11,16,16,12,14,3,3
Sun,25,28,38,29,50,35,32,38,38
Mon,7,17,18,20,22,15,13,15,5
Tue,29,28,33,30,50,32,33,39,39
Wed,26,32,37,41,48,38,32,36,40
Thur,29,39,44,53,50,42,45,57,46
Fri,21,24,31,48,52,50,51,53,40
Sat,7,10,14,17,15,12,14,4,4
Sun,25,32,36,34,50,33,33,43,37
Mon,5,15,18,18,22,17,13,16,4
Tue,25,34,34,38,47,35,33,40,40
Wed,26,33,36,39,43,35,33,34,42
